Adhyaaya # अध्यायः,Paada # पादः,Sutra_num सू. सं.,Sutra_krama सू. क्र. सं,Akaaraadi_krama अकारादि क्र. सं,Kaumudi_krama कौमुदी क्र. सं,Sutra_id पूर्ण सू. सं.,Sutra_type सूत्रलक्षणम्‌,Term संज्ञा,Metarule परिभाषा,Special_case अतिदेशः,Influence अधिकारः,Commentary व्याख्यानम्‌,Sutra_text सूत्रम्‌,PadacCheda पद्च्छेदः,SamasacCheda समासच्छेदः,Anuvrtti pada sutra # अनुवृत्ति-पदम् सूत्र-सङ्ख्या,PadacCheda_notes
2,1,37,21037,2260,699,2.1.37,संज्ञा,तत्पुरुषः,,,,2.1.37,पञ्चमी भयेन |,पञ्चमी १/१ भयेन ३/१,पञ्चमी १/१ भयेन ३/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः,
2,1,38,21038,298,700,2.1.38,संज्ञा,तत्पुरुषः,,,,2.1.38,अपेतापोढमुक्तपतितापत्रस्तैरल्पशः |,अपेतापोढमुक्तपतितापत्रस्तैः ३/३ अल्पशः ०/०,अपेत-अपोढ-मुक्त-पतित-अपत्रस्तैः ३/३ अल्पशः ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21037: पञ्चमी,
2,1,39,21039,3813,701,2.1.39,संज्ञा,तत्पुरुषः,,,,2.1.39,स्तोकान्तिकदूरार्थकृच्छ्राणि क्तेन |,स्तोकान्तिकदूरार्थकृच्छ्राणि १/३ क्तेन ३/१,स्तोक-अन्तिक-दूर-अर्थ-कृच्छ्राणि १/३ क्तेन ३/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21037: पञ्चमी,
2,1,40,21040,3606,717,2.1.40,संज्ञा,तत्पुरुषः,,,,2.1.40,सप्तमी शौण्डैः |,सप्तमी १/१ शौण्डैः ३/३,सप्तमी १/१ शौण्डैः ३/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः,
2,1,41,21041,3735,718,2.1.41,संज्ञा,तत्पुरुषः,,,,2.1.41,सिद्धशुष्कपक्वबन्धैश्च |,सिद्धशुष्कपक्वबन्धैः ३/३ च ०/०,सिद्ध-शुष्क-पक्व-बन्धैः ३/३ च ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21040: सप्तमी,
2,1,42,21042,2011,719,2.1.42,संज्ञा,तत्पुरुषः,,,,2.1.42,ध्वाङ्क्षेण क्षेपे |,ध्वाङ्-क्षेण ३/१ क्षेपे ७/१,ध्वाङ्क्षेण ३/१ क्षेपे ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21040: सप्तमी,
2,1,43,21043,1151,720,2.1.43,संज्ञा,तत्पुरुषः,,,,2.1.43,कृत्यैर्ऋणे |,कृत्यैः ३/३ ऋणे ७/१,कृत्यैः ३/३ ऋणे ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21040: सप्तमी,
2,1,44,21044,3546,721,2.1.44,संज्ञा,तत्पुरुषः,,,,2.1.44,संज्ञायाम्‌ |,संज्ञायाम् ७/१,संज्ञायाम् ७/१,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21022: तत्पुरुषः | 21040: सप्तमी,
2,1,45,21045,1185,722,2.1.45,संज्ञा,तत्पुरुषः,,,,2.1.45,क्तेनाहोरात्रावयवाः |,क्तेन ३/१ अहोरात्रावयवाः १/३,क्तेन ३/१ अहो-रात्र-अवयवाः १/३,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21040: सप्तमी,
2,1,46,21046,1611,723,2.1.46,संज्ञा,तत्पुरुषः,,,,2.1.46,तत्र |,तत्र ०/०,तत्र ०/०,21002: सुप् | 21003: समासः | 21004: सह सुपा | 21011: विभाषा | 21022: तत्पुरुषः | 21040: सप्तमी | 21045: क्तेन,
